Арт-пати;услуги проката;город Москва, Поварская улица, дом 31/29;37.5870776037952440;55.7566214307622520
Ломбард;услуги проката;город Москва, 1-й Хорошёвский проезд, дом 16, корпус 1;37.5444665038363680;55.7746345435179550
Велолосинка;услуги проката;город Москва, Курганская улица, дом 3;37.8090432348804200;55.8284961766231550
Энергия жизни;услуги проката;город Москва, улица Земляной Вал, дом 36;37.6568373666843000;55.7558716517886000
Прокат и заточка коньков;услуги проката;город Москва, город Зеленоград, Озёрная аллея, дом 4;37.2261067853996000;55.9879234449834000
SKIBIKE;услуги проката;город Москва, Краснобогатырская улица, дом 9;37.6926751514623390;55.8170189104833200
Карнавальная ночь;услуги проката;город Москва, Карманицкий переулок, дом 9;37.5840770000000080;55.7482157551531900
ПРОКАТ ИГРУШЕК;услуги проката;город Москва, улица Бажова, дом 17, строение 1;37.6665279999999920;55.8385987814814650
АРТЭ «Театральная галерея»;услуги проката;город Москва, Малый Каковинский переулок, дом 6, строение 1;37.5851849999999960;55.7506537558605970
САЛОН МУЖСКИХ КОСТЮМОВ И СМОКИНГОВ BLACKTUX;услуги проката;город Москва, Спартаковский переулок, дом 2, строение 1;37.6731719999999940;55.7786477639944560
Мастерская национальных костюмов «Kostum-Show»;услуги проката;город Москва, Леонтьевский переулок, дом 5, строение 1;37.6011499999999900;55.7584497581237530
Прокат велосипедов;услуги проката;город Москва, улица Ротерта, дом 2;37.7243949999999940;55.8732317916256490
ФЕСТИВАЛЬ ПАРК;услуги проката;город Москва, Новочерёмушкинская улица, дом 25;37.5789580000000070;55.6807247356304420
Studio68;услуги проката;город Москва, Измайловское шоссе, дом 71, корпус 4Г-Д, строение 5;37.7492670000000250;55.7926747680776810
Прокат коньков при катке;услуги проката;город Москва, Сходненская улица, дом 56;37.4458940000000100;55.8506717850142070
Крути педали;услуги проката;город Москва, Университетский проспект, дом 6, корпус 1;37.5514990000000070;55.6984277407399160
Прокат платьев Dress VS Stress;услуги проката;город Москва, Рочдельская улица, дом 15, строение 41;37.5619219999999960;55.7560977574408270
Dress up;услуги проката;город Москва, переулок Сивцев Вражек, дом 4;37.5986450000000190;55.7473337548972910
STORY DRESS прокат платьев;услуги проката;город Москва, Холодильный переулок, дом 3, корпус 1, строение 8;37.6281919999999990;55.7087927437352590
С-ВИДЕО;услуги проката;город Москва, проезд Серебрякова, дом 14, строение 10;37.6568170000000110;55.8466167838272510
Медведи на Мопеде;услуги проката;город Москва, Большой Сухаревский переулок, дом 17, строение 3;37.6289970000000050;55.7710187617757920
Skipole;услуги проката;город Москва, Авиационная улица, дом 67, корпус 1;37.4542499999999880;55.8093167729286890
Платье в прокате;услуги проката;город Москва, улица Правды, дом 24, строение 3;37.5837420000000010;55.7880067667182760
